title;date
Кино на грани нервного срыва. Направления и авторы 21 века;29.03,10:00
Свет, воздух, рынок и котики: неожиданные корни импрессионизма;29.03,17:00
Курс лекций «Импрессионизм и постимпрессионизм»;29.03,17:00
Курс лекций «Импрессионизм и постимпрессионизм»;17.04,17:00
Блиц-турнир по медвежьим шахматам;30.03,18:30
Фильм «Худший человек на свете»;01.04,19:00
Кино по кадрам. Анимация в 21 веке;02.04,13:00
PIANO DAY. Всемирный день фортепианной музыки;02.04,19:00
Салон отверженных и компания. Как начинался импрессионизм?;03.04,17:00
ZINE LAB. Курс по созданию зинов;03.04,17:30
ZINE LAB. Курс по созданию зинов;29.04,17:30
Курс лекций «История дизайна. США, Италия, Финляндия»;06.04,19:00
Курс лекций «История дизайна. США, Италия, Финляндия»;27.04,19:00
Феномен итальянского дизайна: VIVI, LOTTA, AMA;06.04,19:00
Новая реальность гардероба, или есть ли жизнь без Zara?;09.04,14:00
Гордость и предубеждение. Российское кино 21 века;10.04,14:00
Салон отверженных наносит ответный удар. Расцвет импрессионизма;10.04,17:00
То, что заставляет звенеть кассу. Дизайн США;13.04,19:00
Виноделие Испании. От впечатляющего игристого до многогранных красных;14.04,19:30
Роман с камнем: история ювелирного искусства;17.04,14:00
5 мифов о Ван Гоге, 3 мифа о Гогене. Постимпрессионизм;17.04,17:00
Страна тысячи озёр: истоки и самобытность финского дизайна;20.04,19:00
Спектакль Театра юного зрителя «Где здесь я?»;21.04,18:30
Спектакль Театра юного зрителя «Где здесь я?»;23.04,17:00
Кино с продолжением. Сериалы 21 века;24.04,14:00
Роль дизайна в обществе потребления;27.04,19:00
Кино под прицелом. Фестивали и кинокритика в 21 веке;01.05,14:00